,core_id,serial,fw_version,start,end,loc_id,lat,lon,desc,record_date,battery_level,rain_median,rain_avg,rain_max,rain_min,noise_median,noise_avg,noise_max,noise_min,luminosity,temperature,humidity,pm10,pm25,no2,co,pressure
48,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 22:58:19.743000+00:00,81.56,,50,64,-353,,31,79,27,4,13.59,80.02,18,14,1907,187,1010.79
49,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 22:59:10.783000+00:00,82.05,,-10,677,-314,,46,86,30,0,15.02,73.27,27,23,1987,168,1008.09
50,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 23:02:22.647000+00:00,81.73,,2,35,-308,,49,82,43,17,14.93,74.28,24,23,1681,197,1011.21
51,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 23:04:24.698000+00:00,83.36,,-1,4,-299,,29,79,26,0,13.5,77.42,18,16,1909,205,1010.88
52,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 23:04:40.306000+00:00,83.03,,-5,183,-342,,51,86,43,63,15.46,89.36,29,26,398,234,1009.51
53,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 23:04:56.231000+00:00,82.05,,5,23,-246,,45,78,31,72,14.76,71.09,24,23,1439,174,1009.28
54,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 23:04:58.708000+00:00,82.38,,0,7,-388,,29,86,25,0,14.75,85.46,2,2,1717,181,1010.38
55,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 23:05:09.028000+00:00,82.05,,-15,38,-294,,53,77,47,0,14.83,78.85,20,18,1385,211,1009.97
56,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 23:06:46.469000+00:00,84.01,,4,48,-694,,47,86,42,32,15.16,73.91,28,24,1484,168,1010.28
57,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 23:09:25.264000+00:00,83.2,,-43,7,-487,,53,86,42,1,15.14,72.8,21,19,1541,175,1008.8
58,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 23:10:17.673000+00:00,81.4,,47,69,-267,,36,78,29,4,13.68,81.27,12,10,1865,157,1010.79
59,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 23:11:04.370000+00:00,82.05,,-7,10,-823,,41,86,28,0,15.0,73.17,17,17,1973,166,1007.96
60,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 23:14:18.788000+00:00,81.73,,27,206,-301,,46,82,31,17,14.78,74.96,23,22,1679,193,1011.1
61,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 23:16:10.790000+00:00,83.2,,-1,5,-324,,28,79,26,0,13.39,77.61,13,13,1917,206,1010.78
62,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 23:16:30.817000+00:00,83.03,,1,70,-293,,44,86,31,69,15.4,89.1,26,26,396,239,1009.35
63,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 23:16:53.585000+00:00,82.05,,4,21,-311,,47,78,43,76,14.77,71.07,23,22,1400,174,1009.25
64,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 23:17:04.860000+00:00,81.89,,11,78,-280,,47,78,42,0,14.76,78.8,24,22,1389,205,1009.9
65,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 23:17:14.322000+00:00,82.38,,0,8,-373,,29,86,25,0,14.88,83.95,2,2,1724,186,1010.29
66,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 23:18:29.618000+00:00,84.01,,17,140,-229,,51,86,46,32,15.07,73.97,27,26,1443,147,1010.22
67,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 23:21:13.509000+00:00,83.03,,-3,11,-469,,33,86,27,1,15.1,72.32,19,18,1530,171,1008.65
68,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 23:22:16.873000+00:00,81.4,,46,60,-349,,39,79,28,4,14.04,79.33,14,10,1809,158,1010.63
69,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 23:22:59.087000+00:00,82.05,,-9,778,-296,,48,86,41,0,15.01,72.85,23,20,1963,168,1007.89
